# f[Hz], H(x1/x0), H(xpl/x0)
6.774902343750000000e-01 1.432872043028473874e-01 2.857917865010356495e-02
6.805419921875000000e-01 1.455639726905621212e-01 2.771405927030827152e-02
6.835937500000000000e-01 1.477709857095060031e-01 2.688329555583210059e-02
6.866455078125000000e-01 1.499091966896869410e-01 2.608519197469387138e-02
6.896972656250000000e-01 1.519795363235784957e-01 2.531815586242097682e-02
6.927490234375000000e-01 1.539829151252208317e-01 2.458069004196850038e-02
6.958007812500000000e-01 1.559202257052864360e-01 2.387138605437687244e-02
6.988525390625000000e-01 1.577923448716571919e-01 2.318891794279907131e-02
7.019042968750000000e-01 1.596001355644781627e-01 2.253203653856991617e-02
7.049560546875000000e-01 1.613444486341174544e-01 2.189956420332500250e-02
7.080078125000000000e-01 1.630261244699459378e-01 2.129038998590401452e-02
7.110595703125000000e-01 1.646459944873798764e-01 2.070346515695717024e-02
7.141113281250000000e-01 1.662048824802079827e-01 2.013779908789514392e-02
7.171630859375000000e-01 1.677036058448278522e-01 1.959245544412503010e-02
7.202148437500000000e-01 1.691429766826865466e-01 1.906654866545944016e-02
7.232666015625000000e-01 1.705238027869012130e-01 1.855924070921058724e-02
7.263183593750000000e-01 1.718468885187770523e-01 1.806973803382190893e-02
7.293701171875000000e-01 1.731130355797009246e-01 1.759728880298656525e-02
7.324218750000000000e-01 1.743230436836717689e-01 1.714118029207525526e-02
7.354736328125000000e-01 1.754777111355591279e-01 1.670073648037831079e-02
7.385253906250000000e-01 1.765778353200077588e-01 1.627531581417341819e-02
7.415771484375000000e-01 1.776242131057676754e-01 1.586430912698772594e-02
7.446289062500000000e-01 1.786176411700996225e-01 1.546713770464074392e-02
7.476806640625000000e-01 1.795589162477846945e-01 1.508325148375374430e-02
7.507324218750000000e-01 1.804488353091675268e-01 1.471212737340236824e-02
7.537841796875000000e-01 1.812881956715506615e-01 1.435326769048165911e-02
7.568359375000000000e-01 1.820777950481690388e-01 1.400619870016318359e-02
7.598876953125000000e-01 1.828184315388804992e-01 1.367046925355345187e-02
7.629394531250000000e-01 1.835109035666089849e-01 1.334564951532682571e-02
7.659912109375000000e-01 1.841560097634915572e-01 1.303132977470549195e-02
7.690429687500000000e-01 1.847545488105859779e-01 1.272711933370634235e-02
7.720947265625000000e-01 1.853073192348931308e-01 1.243264546706817839e-02
7.751464843750000000e-01 1.858151191673548808e-01 1.214755244872525904e-02
